area_type,availability,location,bhk,total_sqft,bath,balcony,price,price_per_sqft,sqft_per_bhk
Super built-up  Area,Ready To Move,electronic city,3,1530.0,2.0,1.0,45.9,3000.0,510.0
Built-up  Area,Ready To Move,ramamurthy nagar,4,3700.0,4.0,1.0,225.0,6081.081081081081,925.0
Built-up  Area,Ready To Move,sarjapur  road,3,2497.0,3.0,2.0,140.0,5606.728073688426,832.3333333333334
Super built-up  Area,Ready To Move,kengeri,3,1540.0,2.0,3.0,64.0,4155.8441558441555,513.3333333333334
Super built-up  Area,18-Dec,thanisandra,3,1436.0,3.0,1.0,74.75,5205.431754874652,478.6666666666667
Super built-up  Area,18-Jun,malleshwaram,2,1100.0,2.0,2.0,75.0,6818.181818181818,550.0
Super built-up  Area,Ready To Move,thanisandra,3,1427.0,3.0,2.0,120.0,8409.250175192712,475.6666666666667
Super built-up  Area,Ready To Move,akshaya nagar,3,2061.0,3.0,1.0,200.0,9704.02717127608,687.0
Super built-up  Area,18-Mar,hebbal,4,5611.5,4.0,0.0,477.0,8500.400962309543,1402.875
Super built-up  Area,22-Dec,devanahalli,3,1282.0,2.0,2.0,68.52,5344.773790951638,427.3333333333333
Built-up  Area,Ready To Move,kadugodi,2,1050.0,2.0,1.0,34.0,3238.095238095238,525.0
Built-up  Area,Ready To Move,lb shastri nagar,3,1600.0,3.0,2.0,65.0,4062.5,533.3333333333334
Super built-up  Area,Ready To Move,hormavu,2,1500.0,2.0,1.0,78.0,5200.0,750.0
Plot  Area,Ready To Move,sarjapur,3,1600.0,3.0,1.0,75.0,4687.5,533.3333333333334
Super built-up  Area,Ready To Move,electronic city,2,880.0,1.0,1.0,16.5,1875.0,440.0
Super built-up  Area,Ready To Move,kudlu gate,3,1535.0,3.0,2.0,83.0,5407.166123778502,511.6666666666667
Built-up  Area,Ready To Move,kanakpura road,2,950.0,2.0,1.0,57.0,6000.0,475.0
Super built-up  Area,18-Aug,devanahalli,2,1360.0,2.0,1.0,65.0,4779.411764705882,680.0
Super built-up  Area,19-Mar,8th phase jp nagar,2,1073.5,2.0,0.0,54.005,5030.740568234746,536.75
Super built-up  Area,18-May,bommasandra industrial area,3,1280.0,3.0,1.0,50.4,3937.5,426.6666666666667
Built-up  Area,Ready To Move,hennur road,8,5000.0,8.0,0.0,250.0,5000.0,625.0
Super built-up  Area,19-Dec,yelahanka,5,3050.0,5.0,1.0,213.0,6983.606557377049,610.0
Super built-up  Area,Ready To Move,kasavanhalli,3,1563.05,3.0,1.0,105.0,6717.635392341896,521.0166666666667
Super built-up  Area,Ready To Move,isro layout,2,1000.0,2.0,1.0,60.0,6000.0,500.0
Super built-up  Area,17-Jul,anandapura,2,1167.0,2.0,1.0,43.76,3749.7857754927163,583.5
Super built-up  Area,Ready To Move,kothanur,3,1828.0,3.0,0.0,110.0,6017.505470459519,609.3333333333334
Super built-up  Area,Ready To Move,kengeri satellite town,2,890.0,2.0,1.0,35.0,3932.5842696629215,445.0
Super built-up  Area,19-Apr,mysore road,3,1710.0,4.0,2.0,91.31,5339.766081871345,570.0
Super built-up  Area,Ready To Move,kannamangala,2,957.0,2.0,1.0,58.0,6060.606060606061,478.5
Super built-up  Area,18-May,devarachikkanahalli,3,1250.0,2.0,3.0,44.0,3520.0,416.6666666666667
Super built-up  Area,Ready To Move,hulimavu,2,1125.0,2.0,2.0,50.0,4444.444444444444,562.5
Super built-up  Area,18-Jul,electronic city phase ii,2,1020.0,2.0,1.0,30.6,3000.0,510.0
Super built-up  Area,Ready To Move,kalena agrahara,2,1200.0,2.0,2.0,50.0,4166.666666666667,600.0
Super built-up  Area,Ready To Move,thanisandra,3,1735.0,3.0,3.0,135.0,7780.979827089337,578.3333333333334
Super built-up  Area,Ready To Move,thanisandra,3,2050.0,3.0,1.0,145.0,7073.170731707317,683.3333333333334
Super built-up  Area,18-May,hosa road,2,1063.0,2.0,1.0,32.0,3010.348071495767,531.5
Built-up  Area,Ready To Move,whitefield,4,4200.0,4.0,2.0,420.0,10000.0,1050.0
Super built-up  Area,18-Dec,sarjapur,2,1242.5,2.0,0.0,43.49,3500.201207243461,621.25
Super built-up  Area,Ready To Move,electronic city,3,1500.0,2.0,1.0,64.5,4300.0,500.0
Built-up  Area,Ready To Move,electronic city,2,1060.0,2.0,1.0,60.0,5660.377358490566,530.0
Super built-up  Area,Ready To Move,attibele,1,450.0,1.0,1.0,11.0,2444.4444444444443,450.0
Super built-up  Area,18-Apr,electronic city,2,1152.0,2.0,1.0,64.5,5598.958333333333,576.0
Super built-up  Area,Ready To Move,electronic city,3,1350.0,2.0,1.0,56.0,4148.148148148148,450.0
Super built-up  Area,Ready To Move,cv raman nagar,3,1550.0,3.0,3.0,65.0,4193.548387096775,516.6666666666666
Plot  Area,Ready To Move,nagavara,1,400.0,1.0,0.0,14.0,3500.0,400.0
Super built-up  Area,Ready To Move,malleshwaram,1,705.0,1.0,2.0,67.0,9503.54609929078,705.0
Built-up  Area,Ready To Move,electronic city,2,770.0,1.0,1.0,36.0,4675.324675324675,385.0
Super built-up  Area,Ready To Move,hulimavu,2,1242.0,2.0,3.0,51.0,4106.280193236715,621.0
Super built-up  Area,Ready To Move,hebbal kempapura,3,1700.0,3.0,2.0,155.0,9117.64705882353,566.6666666666666
Super built-up  Area,Ready To Move,thanisandra,3,2144.0,3.0,2.0,145.0,6763.059701492537,714.6666666666666
Super built-up  Area,21-Jun,vijayanagar,3,1704.0,3.0,2.0,110.0,6455.399061032864,568.0
Super built-up  Area,Ready To Move,electronic city,2,1070.0,2.0,1.0,52.0,4859.813084112149,535.0
Built-up  Area,Ready To Move,electronic city,2,1025.0,2.0,1.0,46.0,4487.804878048781,512.5
Super built-up  Area,Ready To Move,kr puram,2,1277.5,2.0,0.0,56.8,4446.183953033268,638.75
Super built-up  Area,Ready To Move,marathahalli,2,1200.0,2.0,2.0,52.0,4333.333333333333,600.0
Built-up  Area,18-Dec,kanakpura road,4,2250.0,4.0,1.0,110.0,4888.888888888889,562.5
Super built-up  Area,Ready To Move,pattandur agrahara,3,1550.0,2.0,3.0,80.0,5161.290322580645,516.6666666666666
Plot  Area,Ready To Move,bellandur,4,1200.0,5.0,0.0,325.0,27083.333333333332,300.0
Super built-up  Area,Ready To Move,marathahalli,2,1200.0,2.0,2.0,60.0,5000.0,600.0
Super built-up  Area,Ready To Move,yelahanka,2,1327.0,2.0,2.0,98.0,7385.079125847777,663.5
Super built-up  Area,Ready To Move,kothanur,2,1186.0,2.0,2.0,58.0,4890.387858347386,593.0
Super built-up  Area,Ready To Move,hsr layout,3,1400.0,3.0,2.0,56.0,4000.0,466.6666666666667
Super built-up  Area,Ready To Move,epip zone,2,1285.0,2.0,2.0,82.0,6381.322957198444,642.5
Built-up  Area,Ready To Move,whitefield,2,1225.0,2.0,2.0,47.6,3885.714285714286,612.5
Super built-up  Area,Ready To Move,whitefield,2,1075.0,2.0,1.0,53.0,4930.232558139535,537.5
Built-up  Area,Ready To Move,kadugodi,3,1260.0,2.0,2.0,54.0,4285.714285714285,420.0
Super built-up  Area,Ready To Move,yelahanka,3,1282.0,2.0,2.0,48.7,3798.751950078003,427.3333333333333
Super built-up  Area,Ready To Move,kogilu,3,1909.0,3.0,2.0,88.0,4609.743321110529,636.3333333333334
Super built-up  Area,Ready To Move,panathur,2,1359.0,2.0,1.0,87.0,6401.766004415011,679.5
Plot  Area,Ready To Move,padmanabhanagar,4,1736.0,6.0,0.0,190.0,10944.700460829494,434.0
Super built-up  Area,20-May,1st block jayanagar,4,2850.0,4.0,1.0,428.0,15017.543859649122,712.5
Super built-up  Area,Ready To Move,kammasandra,3,1595.0,3.0,2.0,65.0,4075.2351097178685,531.6666666666666
Super built-up  Area,Ready To Move,electronics city phase 1,3,1475.0,3.0,2.0,78.29,5307.796610169492,491.6666666666667
Super built-up  Area,Ready To Move,dasarahalli,2,1295.0,2.0,1.0,65.0,5019.305019305019,647.5
Built-up  Area,Ready To Move,magadi road,6,3600.0,6.0,0.0,141.0,3916.6666666666665,600.0
Super built-up  Area,Ready To Move,electronic city,1,589.0,1.0,1.0,27.0,4584.040747028863,589.0
Super built-up  Area,18-Dec,sarjapur  road,3,1787.0,3.0,2.0,98.29,5500.279798545048,595.6666666666666
Super built-up  Area,Ready To Move,sarjapur  road,3,1787.0,3.0,2.0,125.0,6994.963626189144,595.6666666666666
Super built-up  Area,Ready To Move,koramangala,3,1475.0,2.0,3.0,90.0,6101.6949152542375,491.6666666666667
Super built-up  Area,19-Mar,sarjapur  road,2,984.0,2.0,1.0,44.28,4500.0,492.0
Super built-up  Area,19-Dec,devanahalli,3,1630.0,3.0,0.0,74.82,4590.184049079754,543.3333333333334
Built-up  Area,Ready To Move,7th phase jp nagar,2,1080.0,2.0,2.0,72.0,6666.666666666667,540.0
Super built-up  Area,Ready To Move,hebbal,3,1900.0,3.0,2.0,119.0,6263.1578947368425,633.3333333333334
Super built-up  Area,19-Aug,dommasandra,2,805.0,2.0,1.0,22.14,2750.3105590062114,402.5
Super built-up  Area,Ready To Move,budigere,2,1153.0,2.0,2.0,56.4,4891.587163920208,576.5
Built-up  Area,Ready To Move,electronic city,2,1100.0,2.0,2.0,42.0,3818.181818181818,550.0
Super built-up  Area,Ready To Move,kalyan nagar,2,1290.0,2.0,2.0,110.0,8527.131782945737,645.0
Super built-up  Area,21-Jun,vijayanagar,3,1933.0,3.0,1.0,129.0,6673.564407656492,644.3333333333334
Built-up  Area,Ready To Move,ramamurthy nagar,5,3500.0,5.0,2.0,150.0,4285.714285714285,700.0
Super built-up  Area,18-Aug,chandapura,1,645.0,1.0,1.0,16.45,2550.3875968992247,645.0
Super built-up  Area,18-Sep,chandapura,1,645.0,1.0,1.0,16.45,2550.3875968992247,645.0
Plot  Area,Ready To Move,electronic city,3,1200.0,3.0,1.0,90.0,7500.0,400.0
Super built-up  Area,Ready To Move,electronic city,2,910.0,2.0,1.0,40.0,4395.604395604396,455.0
Super built-up  Area,Ready To Move,kothanur,3,1577.0,3.0,1.0,70.0,4438.807863031072,525.6666666666666
Super built-up  Area,Ready To Move,ombr layout,3,2420.0,3.0,2.0,185.0,7644.628099173554,806.6666666666666
Super built-up  Area,Ready To Move,chandapura,2,800.0,1.0,1.0,20.0,2500.0,400.0
Super built-up  Area,Ready To Move,7th phase jp nagar,2,1270.0,2.0,2.0,93.0,7322.834645669292,635.0
Plot  Area,Ready To Move,horamavu agara,4,1200.0,2.0,0.0,95.0,7916.666666666667,300.0
Built-up  Area,Ready To Move,sarjapur  road,2,1025.0,2.0,2.0,36.0,3512.1951219512193,512.5
Super built-up  Area,17-Jun,electronic city,2,1108.0,2.0,1.0,63.0,5685.9205776173285,554.0
Plot  Area,Ready To Move,ambedkar nagar,4,2900.0,3.0,2.0,300.0,10344.827586206897,725.0
Super built-up  Area,Ready To Move,vijayanagar,3,1500.0,3.0,2.0,75.5,5033.333333333333,500.0
Super built-up  Area,Ready To Move,raja rajeshwari nagar,2,1295.0,2.0,2.0,43.9,3389.96138996139,647.5
Super built-up  Area,Ready To Move,budigere,2,1162.0,2.0,1.0,59.9,5154.9053356282275,581.0
Super built-up  Area,Ready To Move,sarjapur  road,2,1035.0,2.0,2.0,49.2,4753.623188405797,517.5
Built-up  Area,Ready To Move,attibele,4,1600.0,4.0,0.0,52.8,3300.0,400.0
Super built-up  Area,18-Oct,hennur road,3,1866.0,2.0,2.0,61.58,3300.10718113612,622.0
Super built-up  Area,Ready To Move,kalena agrahara,3,1804.0,3.0,2.0,120.0,6651.884700665189,601.3333333333334
Super built-up  Area,Ready To Move,sarjapur,2,913.0,2.0,1.0,32.0,3504.9288061336256,456.5
Super built-up  Area,21-Dec,talaghattapura,3,1868.0,3.0,2.0,131.0,7012.847965738758,622.6666666666666
Built-up  Area,Ready To Move,kengeri satellite town,2,883.0,2.0,1.0,45.0,5096.262740656852,441.5
Super built-up  Area,Ready To Move,kogilu,3,1664.0,2.0,3.0,73.95,4444.110576923077,554.6666666666666
Super built-up  Area,Ready To Move,hegde nagar,3,2026.0,3.0,2.0,132.0,6515.301085883514,675.3333333333334
Super built-up  Area,Ready To Move,balagere,2,1210.0,2.0,1.0,80.9,6685.950413223141,605.0
Super built-up  Area,Ready To Move,kadugodi,3,1762.0,3.0,3.0,91.45,5190.124858115778,587.3333333333334
Super built-up  Area,Ready To Move,jigani,3,1252.0,3.0,3.0,55.0,4392.97124600639,417.3333333333333
Built-up  Area,Ready To Move,gollarapalya hosahalli,2,861.0,2.0,1.0,34.5,4006.968641114983,430.5
Built-up  Area,Ready To Move,7th phase jp nagar,3,1420.0,2.0,1.0,100.0,7042.2535211267605,473.3333333333333
Built-up  Area,Ready To Move,electronics city phase 1,3,1490.0,3.0,1.0,78.8,5288.5906040268455,496.6666666666667
Super built-up  Area,Ready To Move,bisuvanahalli,3,1075.0,2.0,1.0,46.0,4279.069767441861,358.3333333333333
Super built-up  Area,18-Aug,old madras road,3,1425.0,2.0,2.0,94.0,6596.491228070176,475.0
Built-up  Area,Ready To Move,kalena agrahara,2,1200.0,2.0,1.0,40.0,3333.3333333333335,600.0
Super built-up  Area,Ready To Move,kaggadasapura,3,1280.0,2.0,2.0,56.0,4375.0,426.6666666666667
Super built-up  Area,18-Jul,chandapura,2,1015.0,2.0,2.0,25.88,2549.753694581281,507.5
Super built-up  Area,21-May,kanakpura road,2,1017.0,2.0,1.0,51.25,5039.331366764995,508.5
Super built-up  Area,Ready To Move,haralur road,2,1027.0,2.0,2.0,44.0,4284.323271665044,513.5
Super built-up  Area,Ready To Move,electronic city phase ii,2,1069.0,2.0,2.0,45.0,4209.541627689429,534.5
Super built-up  Area,Ready To Move,hebbal,2,1349.0,2.0,1.0,98.2,7279.466271312083,674.5
Super built-up  Area,Ready To Move,9th phase jp nagar,2,1005.0,2.0,1.0,50.0,4975.124378109453,502.5
Super built-up  Area,Ready To Move,jakkur,2,1417.0,2.0,3.0,75.0,5292.87226534933,708.5
Plot  Area,18-Jan,tc palaya,3,1475.0,3.0,1.0,98.0,6644.067796610169,491.6666666666667
Super built-up  Area,Ready To Move,sarjapur  road,4,1863.0,3.0,2.0,104.0,5582.393988191089,465.75
Super built-up  Area,Ready To Move,singasandra,2,1010.0,2.0,1.0,29.5,2920.792079207921,505.0
Super built-up  Area,Ready To Move,kalena agrahara,3,1425.0,2.0,1.0,70.0,4912.2807017543855,475.0
Super built-up  Area,Ready To Move,vijayanagar,3,1450.0,3.0,0.0,100.0,6896.551724137931,483.3333333333333
Super built-up  Area,Ready To Move,kothanur,3,1847.0,3.0,2.0,105.0,5684.89442338928,615.6666666666666
Super built-up  Area,Ready To Move,aecs layout,2,1100.0,2.0,3.0,45.0,4090.909090909091,550.0
Super built-up  Area,20-Dec,kanakpura road,1,525.0,1.0,1.0,26.0,4952.380952380952,525.0
Super built-up  Area,Ready To Move,mallasandra,3,1665.0,3.0,2.0,95.0,5705.705705705705,555.0
Super built-up  Area,Ready To Move,begur,4,1664.0,4.0,3.0,65.0,3906.25,416.0
Super built-up  Area,Ready To Move,jp nagar,3,1850.0,3.0,3.0,150.0,8108.108108108108,616.6666666666666
Super built-up  Area,Ready To Move,panathur,2,1438.0,2.0,3.0,100.0,6954.102920723227,719.0
Super built-up  Area,18-Apr,yelahanka,2,1350.0,2.0,1.0,55.55,4114.814814814815,675.0
Super built-up  Area,Ready To Move,kanakpura road,3,1550.0,3.0,3.0,67.0,4322.580645161291,516.6666666666666
Super built-up  Area,18-Apr,malleshpalya,2,1140.0,2.0,2.0,46.5,4078.9473684210525,570.0
Super built-up  Area,Ready To Move,whitefield,2,1280.0,2.0,2.0,75.0,5859.375,640.0
Built-up  Area,Ready To Move,munnekollal,2,1170.0,2.0,2.0,52.0,4444.444444444444,585.0
Super built-up  Area,Ready To Move,hennur road,2,1385.0,2.0,1.0,83.09,5999.27797833935,692.5
Super built-up  Area,18-Apr,electronic city,2,1128.0,2.0,1.0,65.0,5762.41134751773,564.0
Plot  Area,Ready To Move,marathahalli,2,1200.0,2.0,2.0,128.0,10666.666666666666,600.0
Super built-up  Area,Ready To Move,rajaji nagar,3,2390.0,3.0,2.0,415.0,17364.016736401674,796.6666666666666
Super built-up  Area,Ready To Move,haralur road,3,1464.0,3.0,2.0,56.0,3825.136612021858,488.0
Super built-up  Area,Ready To Move,kaval byrasandra,2,1200.0,2.0,2.0,52.0,4333.333333333333,600.0
Super built-up  Area,Ready To Move,kaggalipura,3,1150.0,2.0,1.0,55.0,4782.608695652174,383.3333333333333
Super built-up  Area,20-Mar,sarjapur  road,2,1000.0,2.0,1.0,67.0,6700.0,500.0
Plot  Area,Ready To Move,haralur road,4,2650.0,4.0,2.0,198.0,7471.698113207547,662.5
Super built-up  Area,Ready To Move,6th phase jp nagar,2,1192.0,2.0,2.0,74.0,6208.053691275168,596.0
Super built-up  Area,Ready To Move,ulsoor,3,2135.0,3.0,2.0,215.0,10070.257611241217,711.6666666666666
Super built-up  Area,19-Dec,whitefield,2,1173.0,2.0,1.0,58.0,4944.58653026428,586.5
Built-up  Area,Ready To Move,uttarahalli,2,1020.0,2.0,2.0,45.0,4411.764705882353,510.0
Super built-up  Area,Ready To Move,thigalarapalya,4,3122.0,6.0,2.0,230.0,7367.072389493914,780.5
Super built-up  Area,Ready To Move,somasundara palya,3,1600.0,3.0,3.0,64.0,4000.0,533.3333333333334
Super built-up  Area,Ready To Move,devarachikkanahalli,2,1250.0,2.0,2.0,40.0,3200.0,625.0
Super built-up  Area,Ready To Move,kalena agrahara,2,1325.0,2.0,2.0,76.0,5735.8490566037735,662.5
Built-up  Area,Ready To Move,7th phase jp nagar,3,1850.0,3.0,1.0,150.0,8108.108108108108,616.6666666666666
Super built-up  Area,21-Dec,kanakpura road,1,525.0,1.0,0.0,21.53,4100.952380952381,525.0
Super built-up  Area,Ready To Move,basaveshwara nagar,2,1200.0,2.0,2.0,65.0,5416.666666666667,600.0
Super built-up  Area,18-Jun,bommasandra,3,1260.0,3.0,1.0,49.36,3917.4603174603176,420.0
Built-up  Area,Ready To Move,ardendale,2,1100.0,2.0,1.0,43.25,3931.818181818182,550.0
Super built-up  Area,Ready To Move,harlur,2,1508.0,2.0,1.0,77.0,5106.100795755968,754.0
Super built-up  Area,Ready To Move,akshaya nagar,2,1388.0,2.0,3.0,57.0,4106.628242074928,694.0
Super built-up  Area,18-May,electronic city phase ii,1,630.0,1.0,1.0,28.35,4500.0,630.0
Super built-up  Area,Ready To Move,kodihalli,4,3252.0,5.0,3.0,335.0,10301.353013530135,813.0
Super built-up  Area,18-Aug,magadi road,2,1116.0,2.0,1.0,50.0,4480.286738351255,558.0
Super built-up  Area,Ready To Move,narayanapura,2,1308.0,2.0,2.0,89.04,6807.339449541284,654.0
Built-up  Area,Ready To Move,bannerghatta road,1,500.0,1.0,1.0,18.5,3700.0,500.0
